id,claim,method,count_a,count_b,claimed_a,claimed_b,match
C01,Dunya = Akhira,lemma,115,115,115,115,True
C01,Dunya = Akhira,singular,115,115,115,115,True
C01,Dunya = Akhira,dual,0,0,115,115,False
C01,Dunya = Akhira,plural,0,0,115,115,False
C01,Dunya = Akhira,plural+dual,0,0,115,115,False
C01,Dunya = Akhira,singular definite,115,115,115,115,True
C01,Dunya = Akhira,"lemma, no pron suffix",115,115,115,115,True
C01,Dunya = Akhira,"singular, no pron suffix",115,115,115,115,True
C01,Dunya = Akhira,"root, all",133,250,115,115,False
C01,Dunya = Akhira,"root, nominal",131,226,115,115,False
C02,Mala'ika = Shayatin,lemma,88,88,88,88,True
C02,Mala'ika = Shayatin,singular,13,70,88,88,False
C02,Mala'ika = Shayatin,dual,2,0,88,88,False
C02,Mala'ika = Shayatin,plural,73,18,88,88,False
C02,Mala'ika = Shayatin,plural+dual,75,18,88,88,False
C02,Mala'ika = Shayatin,singular definite,2,64,88,88,False
C02,Mala'ika = Shayatin,"lemma, no pron suffix",83,87,88,88,False
C02,Mala'ika = Shayatin,"singular, no pron suffix",13,70,88,88,False
C02,Mala'ika = Shayatin,"root, all",206,88,88,88,False
C02,Mala'ika = Shayatin,"root, nominal",162,88,88,88,False
C03,Hayat = Mawt,lemma,76,50,145,145,False
C03,Hayat = Mawt,lemma+variants,79,56,145,145,False
C03,Hayat = Mawt,singular,76,50,145,145,False
C03,Hayat = Mawt,dual,0,0,145,145,False
C03,Hayat = Mawt,plural,0,0,145,145,False
C03,Hayat = Mawt,plural+dual,0,0,145,145,False
C03,Hayat = Mawt,singular definite,67,35,145,145,False
C03,Hayat = Mawt,"lemma, no pron suffix",71,36,145,145,False
C03,Hayat = Mawt,"singular, no pron suffix",71,36,145,145,False
C03,Hayat = Mawt,"root, all",184,165,145,145,False
C03,Hayat = Mawt,"root, nominal",113,105,145,145,False
C04,Rajul = Imra'a (24),lemma,29,26,24,24,False
C04,Rajul = Imra'a (24),lemma+variants,57,85,24,24,False
C04,Rajul = Imra'a (24),singular,24,24,24,24,True
C04,Rajul = Imra'a (24),dual,5,2,24,24,False
C04,Rajul = Imra'a (24),plural,0,0,24,24,False
C04,Rajul = Imra'a (24),plural+dual,5,2,24,24,False
C04,Rajul = Imra'a (24),singular definite,0,0,24,24,False
C04,Rajul = Imra'a (24),"lemma, no pron suffix",29,13,24,24,False
C04,Rajul = Imra'a (24),"singular, no pron suffix",24,11,24,24,False
C04,Rajul = Imra'a (24),"root, all",73,38,24,24,False
C04,Rajul = Imra'a (24),"root, nominal",73,38,24,24,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",lemma,29,26,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",lemma+variants,57,85,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",singular,24,24,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",dual,5,2,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",plural,0,0,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",plural+dual,5,2,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')",singular definite,0,0,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')","lemma, no pron suffix",29,13,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')","singular, no pron suffix",24,11,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')","root, all",73,38,23,23,False
C04b,"Rajul = Imra'a (23, 'chromosome pairs')","root, nominal",73,38,23,23,False
C05,Salihat = Sayyi'at,lemma,62,36,167,167,False
C05,Salihat = Sayyi'at,singular,0,1,167,167,False
C05,Salihat = Sayyi'at,dual,0,0,167,167,False
C05,Salihat = Sayyi'at,plural,62,35,167,167,False
C05,Salihat = Sayyi'at,plural+dual,62,35,167,167,False
C05,Salihat = Sayyi'at,singular definite,0,0,167,167,False
C05,Salihat = Sayyi'at,"lemma, no pron suffix",62,21,167,167,False
C05,Salihat = Sayyi'at,"singular, no pron suffix",0,1,167,167,False
C05,Salihat = Sayyi'at,"root, all",180,167,167,167,False
C05,Salihat = Sayyi'at,"root, nominal",150,132,167,167,False
C06,Qul = Qalu,lemma,1618,1618,332,332,False
C06,Qul = Qalu,singular,1068,1068,332,332,False
C06,Qul = Qalu,dual,9,9,332,332,False
C06,Qul = Qalu,plural,541,541,332,332,False
C06,Qul = Qalu,plural+dual,550,550,332,332,False
C06,Qul = Qalu,singular definite,0,0,332,332,False
C06,Qul = Qalu,"lemma, no pron suffix",1081,1081,332,332,False
C06,Qul = Qalu,"singular, no pron suffix",1059,1059,332,332,False
C06,Qul = Qalu,"root, all",1722,1722,332,332,False
C06,Qul = Qalu,"root, nominal",102,102,332,332,False
C06,Qul = Qalu,grammatical selection,332,332,332,332,True
C07,Iblis = isti'adha,lemma,11,17,11,11,False
C07,Iblis = isti'adha,singular,11,16,11,11,False
C07,Iblis = isti'adha,dual,0,0,11,11,False
C07,Iblis = isti'adha,plural,0,1,11,11,False
C07,Iblis = isti'adha,plural+dual,0,1,11,11,False
C07,Iblis = isti'adha,singular definite,0,0,11,11,False
C07,Iblis = isti'adha,"lemma, no pron suffix",11,13,11,11,False
C07,Iblis = isti'adha,"singular, no pron suffix",11,13,11,11,False
C07,Iblis = isti'adha,"root, all",,17,11,11,False
C07,Iblis = isti'adha,"root, nominal",,2,11,11,False
C08,Zakat = Baraka,lemma,32,3,32,32,False
C08,Zakat = Baraka,lemma+variants,,15,32,32,False
C08,Zakat = Baraka,singular,32,0,32,32,False
C08,Zakat = Baraka,dual,0,0,32,32,False
C08,Zakat = Baraka,plural,0,3,32,32,False
C08,Zakat = Baraka,plural+dual,0,3,32,32,False
C08,Zakat = Baraka,singular definite,29,0,32,32,False
C08,Zakat = Baraka,"lemma, no pron suffix",32,2,32,32,False
C08,Zakat = Baraka,"singular, no pron suffix",32,0,32,32,False
C08,Zakat = Baraka,"root, all",59,32,32,32,False
C08,Zakat = Baraka,"root, nominal",38,15,32,32,False
C09,Abrar : Fujjar = 6 : 3,lemma,,4,6,3,False
C09,Abrar : Fujjar = 6 : 3,singular,,0,6,3,False
C09,Abrar : Fujjar = 6 : 3,dual,,0,6,3,False
C09,Abrar : Fujjar = 6 : 3,plural,,4,6,3,False
C09,Abrar : Fujjar = 6 : 3,plural+dual,,4,6,3,False
C09,Abrar : Fujjar = 6 : 3,singular definite,,0,6,3,False
C09,Abrar : Fujjar = 6 : 3,"lemma, no pron suffix",,4,6,3,False
C09,Abrar : Fujjar = 6 : 3,"singular, no pron suffix",,0,6,3,False
C09,Abrar : Fujjar = 6 : 3,"root, all",32,24,6,3,False
C09,Abrar : Fujjar = 6 : 3,"root, nominal",30,14,6,3,False
C09,Abrar : Fujjar = 6 : 3,exact form(s),6,3,6,3,True
C10,Yusr : Usr = 36 : 12,lemma,7,5,36,12,False
C10,Yusr : Usr = 36 : 12,singular,7,5,36,12,False
C10,Yusr : Usr = 36 : 12,dual,0,0,36,12,False
C10,Yusr : Usr = 36 : 12,plural,0,0,36,12,False
C10,Yusr : Usr = 36 : 12,plural+dual,0,0,36,12,False
C10,Yusr : Usr = 36 : 12,singular definite,1,3,36,12,False
C10,Yusr : Usr = 36 : 12,"lemma, no pron suffix",7,5,36,12,False
C10,Yusr : Usr = 36 : 12,"singular, no pron suffix",7,5,36,12,False
C10,Yusr : Usr = 36 : 12,"root, all",44,12,36,12,False
C10,Yusr : Usr = 36 : 12,"root, nominal",29,11,36,12,False
C11,Naf' = Fasad,lemma,11,11,50,50,False
C11,Naf' = Fasad,singular,11,11,50,50,False
C11,Naf' = Fasad,dual,0,0,50,50,False
C11,Naf' = Fasad,plural,0,0,50,50,False
C11,Naf' = Fasad,plural+dual,0,0,50,50,False
C11,Naf' = Fasad,singular definite,0,6,50,50,False
C11,Naf' = Fasad,"lemma, no pron suffix",9,11,50,50,False
C11,Naf' = Fasad,"singular, no pron suffix",9,11,50,50,False
C11,Naf' = Fasad,"root, all",50,50,50,50,True
C11,Naf' = Fasad,"root, nominal",19,32,50,50,False
C12,Nas = Anbiya',lemma,241,75,50,50,False
C12,Nas = Anbiya',singular,0,54,50,50,False
C12,Nas = Anbiya',dual,0,0,50,50,False
C12,Nas = Anbiya',plural,241,21,50,50,False
C12,Nas = Anbiya',plural+dual,241,21,50,50,False
C12,Nas = Anbiya',singular definite,0,33,50,50,False
C12,Nas = Anbiya',"lemma, no pron suffix",241,73,50,50,False
C12,Nas = Anbiya',"singular, no pron suffix",0,52,50,50,False
C12,Nas = Anbiya',"root, all",241,160,50,50,False
C12,Nas = Anbiya',"root, nominal",241,109,50,50,False
C13,Muhammad = Sharia,lemma,4,1,4,4,False
C13,Muhammad = Sharia,lemma+variants,,2,4,4,False
C13,Muhammad = Sharia,singular,4,1,4,4,False
C13,Muhammad = Sharia,dual,0,0,4,4,False
C13,Muhammad = Sharia,plural,0,0,4,4,False
C13,Muhammad = Sharia,plural+dual,0,0,4,4,False
C13,Muhammad = Sharia,singular definite,0,0,4,4,False
C13,Muhammad = Sharia,"lemma, no pron suffix",4,1,4,4,False
C13,Muhammad = Sharia,"singular, no pron suffix",4,1,4,4,False
C13,Muhammad = Sharia,"root, all",,5,4,4,False
C13,Muhammad = Sharia,"root, nominal",,3,4,4,False
C14,Iman = Kufr (25),lemma,45,37,25,25,False
C14,Iman = Kufr (25),lemma+variants,,41,25,25,False
C14,Iman = Kufr (25),singular,45,37,25,25,False
C14,Iman = Kufr (25),dual,0,0,25,25,False
C14,Iman = Kufr (25),plural,0,0,25,25,False
C14,Iman = Kufr (25),plural+dual,0,0,25,25,False
C14,Iman = Kufr (25),singular definite,17,16,25,25,False
C14,Iman = Kufr (25),"lemma, no pron suffix",25,25,25,25,True
C14,Iman = Kufr (25),"singular, no pron suffix",25,25,25,25,True
C14,Iman = Kufr (25),"root, all",879,525,25,25,False
C14,Iman = Kufr (25),"root, nominal",321,221,25,25,False
C15,Musiba = Shukr,lemma,10,1,75,75,False
C15,Musiba = Shukr,singular,10,1,75,75,False
C15,Musiba = Shukr,dual,0,0,75,75,False
C15,Musiba = Shukr,plural,0,0,75,75,False
C15,Musiba = Shukr,plural+dual,0,0,75,75,False
C15,Musiba = Shukr,singular definite,0,0,75,75,False
C15,Musiba = Shukr,"lemma, no pron suffix",10,1,75,75,False
C15,Musiba = Shukr,"singular, no pron suffix",10,1,75,75,False
C15,Musiba = Shukr,"root, all",77,75,75,75,False
C15,Musiba = Shukr,"root, nominal",13,29,75,75,False
C16,Jahr = 'Alaniya,lemma,7,4,16,16,False
C16,Jahr = 'Alaniya,singular,7,4,16,16,False
C16,Jahr = 'Alaniya,dual,0,0,16,16,False
C16,Jahr = 'Alaniya,plural,0,0,16,16,False
C16,Jahr = 'Alaniya,plural+dual,0,0,16,16,False
C16,Jahr = 'Alaniya,singular definite,4,0,16,16,False
C16,Jahr = 'Alaniya,"lemma, no pron suffix",6,4,16,16,False
C16,Jahr = 'Alaniya,"singular, no pron suffix",6,4,16,16,False
C16,Jahr = 'Alaniya,"root, all",16,16,16,16,True
C16,Jahr = 'Alaniya,"root, nominal",11,4,16,16,False
C17,Harr = Bard (4),lemma,3,2,4,4,False
C17,Harr = Bard (4),lemma+variants,4,4,4,4,True
C17,Harr = Bard (4),singular,3,2,4,4,False
C17,Harr = Bard (4),dual,0,0,4,4,False
C17,Harr = Bard (4),plural,0,0,4,4,False
C17,Harr = Bard (4),plural+dual,0,0,4,4,False
C17,Harr = Bard (4),singular definite,2,0,4,4,False
