side,location,form,form_arabic,LEM,ROOT,POS,NUMBER,PGN,basis
dunya,2:61:27,>adonaY`,أَدْنَىٰ,>adonaY`,dnw,N,S,MS,root
dunya,2:85:38,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,2:86:5,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,2:114:24,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,2:130:13,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,2:200:18,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,2:201:7,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,2:204:8,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,2:212:5,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,2:217:50,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,2:220:2,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,2:282:93,>adonaY`^,أَدْنَىٰٓ,>adonaY`,dnw,N,S,MS,root
dunya,3:14:20,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,3:22:6,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,3:45:17,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,3:56:8,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,3:117:7,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,3:145:14,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,3:148:4,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,3:152:24,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,3:185:20,d~unoyaA^,دُّنْيَآ,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,4:3:26,>adonaY`^,أَدْنَىٰٓ,>adonaY`,dnw,N,S,MS,root
dunya,4:74:8,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,4:77:40,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,4:94:21,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,4:109:7,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,4:134:5,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,4:134:9,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,5:33:29,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,5:41:61,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,N,S,FS,lemma+root
dunya,5:108:2,>adonaY`^,أَدْنَىٰٓ,>adonaY`,dnw,N,S,MS,root
dunya,6:29:6,d~unoyaA,دُّنْيَا,d~unoyaA,dnw,ADJ,S,FS,lemma+root
dunya,6:32:3,d~unoyaA^,دُّنْيَآ,d~unoyaA,dnw,ADJ,S,FS,lemma+root
