count_value,n_lemmas,n_equal_pairs
1,1994,1987021
2,744,276396
3,409,83436
4,254,32131
5,187,17391
6,131,8515
7,102,5151
8,79,3081
9,77,2926
10,61,1830
11,53,1378
12,50,1225
13,30,435
14,32,496
15,31,465
16,27,351
17,25,300
18,24,276
19,15,105
20,21,210
21,19,171
22,19,171
23,16,120
24,13,78
25,12,66
26,11,55
27,14,91
28,16,120
29,9,36
30,10,45
31,4,6
32,7,21
33,7,21
34,4,6
35,12,66
36,4,6
37,10,45
38,6,15
39,8,28
40,12,66
41,6,15
42,6,15
43,4,6
44,7,21
45,7,21
46,3,3
47,2,1
48,4,6
49,7,21
50,5,10
51,5,10
52,4,6
53,3,3
54,3,3
55,3,3
56,4,6
57,6,15
58,2,1
59,4,6
60,1,0
61,2,1
62,3,3
63,4,6
64,5,10
65,4,6
68,1,0
69,1,0
70,6,15
71,5,10
72,4,6
73,3,3
74,3,3
75,4,6
76,4,6
77,2,1
78,3,3
79,1,0
80,2,1
82,1,0
83,4,6
84,3,3
85,1,0
86,2,1
87,1,0
88,4,6
89,1,0
91,1,0
92,2,1
93,3,3
97,1,0
99,1,0
101,1,0
105,2,1
106,3,3
110,1,0
114,1,0
115,1,0
116,1,0
119,1,0
120,2,1
122,1,0
123,1,0
124,1,0
127,3,3
129,2,1
130,1,0
131,1,0
132,1,0
136,2,1
137,1,0
139,1,0
142,1,0
144,2,1
145,1,0
147,3,3
153,1,0
155,1,0
156,1,0
157,1,0
159,1,0
163,1,0
166,2,1
170,1,0
176,2,1
178,1,0
183,1,0
184,1,0
197,1,0
199,1,0
201,1,0
202,1,0
204,1,0
236,1,0
239,1,0
241,1,0
242,1,0
247,1,0
260,1,0
264,1,0
266,1,0
271,2,1
276,1,0
278,1,0
280,1,0
283,1,0
289,1,0
295,1,0
310,1,0
318,1,0
322,1,0
332,1,0
338,1,0
340,1,0
353,1,0
359,1,0
362,1,0
382,2,1
383,1,0
405,1,0
406,1,0
409,1,0
461,1,0
465,1,0
520,1,0
537,1,0
625,1,0
663,1,0
697,1,0
742,1,0
871,1,0
975,1,0
1358,1,0
1445,1,0
1464,1,0
1618,1,0
1682,1,0
1701,1,0
1738,1,0
2565,1,0
2699,1,0
3226,1,0
