target,location,form,form_arabic,LEM,POS,NUMBER,PGN,kind
Dunya,2:85:38,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,2:86:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,2:114:24,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,2:130:13,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,2:200:18,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,2:201:7,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,2:204:8,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,2:212:5,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,2:217:50,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,2:220:2,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:14:20,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,3:22:6,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:45:17,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:56:8,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:117:7,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
Dunya,3:145:14,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:148:4,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:152:24,d~unoyaA,دُّنْيَا,d~unoyaA,N,S,FS,primary
Dunya,3:185:20,d~unoyaA^,دُّنْيَآ,d~unoyaA,ADJ,S,FS,primary
Dunya,4:74:8,d~unoyaA,دُّنْيَا,d~unoyaA,ADJ,S,FS,primary
