word,qac_lemma,qac_count,qm_lemmas,qm_union_total,exact_agree
Dunya,d~unoyaA,115,دُنْيا=115,115,True
Akhira,A^xir,115,آخِرُ=100; آخِرَةٌ=15,155,False
Malak,malak,88,مَلَكٌ=67; مَلَاكٌ=21,88,True
Shaytan,$ayoTa`n,88,شَيْطَانٌ=88,88,True
Hayat,Hayaw`p,76,حَياةٌ=76,76,True
Mawt,mawot,50,مَوْتٌ=50,53,False
Rajul,rajul,29,رَجُلٌ=29,57,False
Imra'a,{mora>at,26,اِمْرَأَةٌ=26,26,True
Shahr,$ahor,21,شَهْرٌ=21,21,True
Yawm,yawom,405,يَوْمٌ=405,405,True
Bahr,baHor,41,بَحْرٌ=41,41,True
Barr,bar~,22,بَرٌّ=12; بَارٌّ=10,22,True
Jannah,jan~ap,147,جَنَّةٌ=147,147,True
Jahannam,jahan~am,77,جَهَنَّمُ=77,77,True
Harr,Har~,3,حَرٌّ=3,3,True
Bard,barod,2,بَرْدٌ=2,2,True
Zakat,zakaw`p,32,زَكَاةٌ=32,32,True
Baraka,baraka`t,3,بَرَكَةٌ=3,3,True
Qaala,qaAla,1618,قَالَ1 | قَالَ1 ب | قَالَ1 عن | قَالَ1 في | قَالَ1 ل=1618,1618,True
Adhab,Ea*aAb,322,عَذَابٌ=322,322,True
Rahma,raHomap,114,رَحْمَةٌ=114,114,True
Maghfira,m~agofirap,28,مَغْفِرَةٌ=28,28,True
Ghani,ganiY~,24,غَنِيٌّ=24,24,True
Faqir,faqiyr,12,فَقِيرٌ=12,12,True
Hasana,Hasanap,28,حَسَنَةٌ=28,31,False
Sayyi'a,say~i}ap,22,سَيِّئةٌ=22,58,False
Adam,A^dam,25,آدَمُ=25,25,True
Isa,EiysaY,25,عِيسَىً=25,25,True
Insan,<insa`n,71,إِنْسَانٌ=71,71,True
Iblis,<iboliys,11,إِبْلِيسُ=11,11,True
Iman,<iyma`n,45,إِيمَانٌ=45,45,True
Kufr,kufor,37,كُفْرٌ1=37,37,True
Turab,turaAb,17,تُرَابٌ=17,17,True
Nutfa,n~uTofap,12,نُطْفَةٌ=12,12,True
Alaqa,Ealaqap,5,عَلَقَةٌ=5,5,True
Mudgha,muDogap,3,مُضْغَةٌ=3,3,True
Izam,EaZom,2,عَظْمٌ=2,2,True
Lahm,laHom,12,لَحْمٌ=12,12,True
Salihat,S~a`liHa`t,62,صَالِحٌ3=62,127,False
Sayyi'at,say~i_#aAt,36,سَيِّئةٌ=36,58,False
Nas,n~aAs,241,ناسٌ=241,241,True
Nabiy,n~abiY~,75,نَبِيٌّ=75,75,True
Muhammad,muHam~ad,4,مُحَمَّدٌ=4,4,True
Sharia,$ariyEap,1,شَرِيْعَةٌ=1,1,True
Musiba,m~uSiybap,10,مُصِيبَةٌ=10,10,True
Shukr,$ukor,1,شُكْرٌ=1,1,True
Jahr,jahor,7,جَهْرٌ=7,7,True
Alaniya,EalaAniyap,4,عَلَانِيَةٌ=4,4,True
Lisan,lisaAn,25,لِسَانٌ=25,25,True
Maw'iza,m~awoEiZap,9,مَوْعِظَةٌ=9,9,True
Nabat,nabaAt,9,نَبَاتٌ=9,9,True
Shajar(a),$ajarap,19,شَجَرٌ=19,26,False
Jaza',jazaA^',42,جَزَاءٌ=42,42,True
Salat,Salaw`p,83,صَلَاةٌ=83,83,True
Naf',nafoE,11,نَفْعٌ=11,11,True
Fasad,fasaAd,11,فَسَادٌ=11,11,True
Yusr,yusor,7,يُسْرٌ=7,7,True
Usr,Eusor,5,عُسْرٌ=5,5,True
